workload	category	backend	sample	elapsed_ns	user_cpu_ns	system_cpu_ns	voluntary_context_switches	involuntary_context_switches	operations	byte_count
syscall-baseline	microbaseline	kvm	10	117164065	2288000	15095000	14	7	0	0
syscall-baseline	microbaseline	ptrace	10	67037577	1297000	48945000	290	141	0	0
syscall-loop	syscall	kvm	10	218189871	85593000	70533000	13	17	10000	0
syscall-loop	syscall	ptrace	10	5682050162	39995000	5403930000	40366	20182	10000	0
pipe-baseline	microbaseline	kvm	10	116618051	1030000	15852000	13	3	0	0
pipe-baseline	microbaseline	ptrace	10	67401628	4126000	47928000	321	146	0	0
pipe-roundtrip	boundary	kvm	10	166425636	51985000	32484000	11	25	2000	0
pipe-roundtrip	boundary	ptrace	10	1219104019	17209000	1120438000	8345	4152	2000	0
echo	application	ptrace	11	66603771	3901000	47565000	321	154	0	0
echo	application	kvm	11	117556068	3396000	13533000	14	3	0	0
ls-64	application	ptrace	11	116729018	1955000	82504000	552	268	0	0
ls-64	application	kvm	11	66590672	4044000	14237000	13	2	0	0
true	application	ptrace	11	66597081	2204000	46626000	287	140	0	0
true	application	kvm	11	266608418	889000	14001000	12	5	0	0
pwd	application	ptrace	11	67459665	1844000	56156000	328	159	0	0
pwd	application	kvm	11	117415245	2815000	14952000	13	14	0	0
seq-10	application	ptrace	11	66492093	1819000	49832000	320	151	0	0
seq-10	application	kvm	11	417163990	2028000	17897000	13	3	0	0
head-readme	application	ptrace	11	65950784	3626000	49122000	342	161	0	0
head-readme	application	kvm	11	216565936	2262000	13801000	14	3	0	0
base64-readme	application	ptrace	11	66286582	3398000	53205000	365	175	0	0
base64-readme	application	kvm	11	116212757	857000	15590000	14	3	0	0
id-u	application	ptrace	11	116491930	2084000	66768000	448	218	0	0
id-u	application	kvm	11	166100375	1984000	15137000	13	4	0	0
printf	application	ptrace	11	66778886	3404000	48462000	325	156	0	0
printf	application	kvm	11	66062654	2061000	13425000	12	4	0	0
cat-stream	throughput	ptrace	11	216353805	3103000	190883000	1375	680	0	16777216
cat-stream	throughput	kvm	11	116302463	9690000	15900000	14	4	0	16777216
syscall-baseline	microbaseline	ptrace	11	66070765	1871000	44596000	286	135	0	0
syscall-baseline	microbaseline	kvm	11	66372701	4150000	11493000	14	3	0	0
syscall-loop	syscall	ptrace	11	5628039219	38643000	5367438000	40380	20165	10000	0
syscall-loop	syscall	kvm	11	217596364	81690000	68195000	13	6	10000	0
pipe-baseline	microbaseline	ptrace	11	65933948	3381000	45003000	312	148	0	0
pipe-baseline	microbaseline	kvm	11	166399958	1157000	14391000	13	3	0	0
pipe-roundtrip	boundary	ptrace	11	1218747099	17916000	1118645000	8335	4151	2000	0
pipe-roundtrip	boundary	kvm	11	166550114	53362000	32439000	13	5	2000	0
echo	application	kvm	12	67118780	4259000	14001000	12	4	0	0
echo	application	ptrace	12	68111431	2858000	51072000	328	168	0	0
ls-64	application	kvm	12	67359143	6232000	15705000	13	17	0	0
ls-64	application	ptrace	12	117178717	5528000	79266000	551	265	0	0
true	application	kvm	12	116347481	5347000	10775000	14	5	0	0
true	application	ptrace	12	70941280	3427000	43684000	290	140	0	0
pwd	application	kvm	12	117056464	2964000	13748000	13	3	0	0
pwd	application	ptrace	12	66741859	4238000	47754000	320	158	0	0
seq-10	application	kvm	12	116928179	3160000	13659000	14	3	0	0
seq-10	application	ptrace	12	67481869	2019000	51024000	323	149	0	0
head-readme	application	kvm	12	117135743	3955000	14237000	12	3	0	0
head-readme	application	ptrace	12	117031475	2531000	53988000	340	171	0	0
base64-readme	application	kvm	12	67040562	982000	18121000	12	5	0	0
base64-readme	application	ptrace	12	68391284	3952000	55402000	367	176	0	0
id-u	application	kvm	12	68034395	3998000	16250000	13	18	0	0
id-u	application	ptrace	12	118410410	1990000	72196000	455	238	0	0
printf	application	kvm	12	70317536	1062000	17778000	14	7	0	0
printf	application	ptrace	12	68995128	1320000	52206000	326	153	0	0
cat-stream	throughput	kvm	12	167568935	8286000	19422000	14	6	0	16777216
cat-stream	throughput	ptrace	12	217493729	3386000	192254000	1368	682	0	16777216
syscall-baseline	microbaseline	kvm	12	68487990	0	17083000	13	6	0	0
syscall-baseline	microbaseline	ptrace	12	67537223	3962000	43322000	290	138	0	0
syscall-loop	syscall	kvm	12	217590335	90397000	62121000	13	4	10000	0
syscall-loop	syscall	ptrace	12	5680716835	48583000	5377686000	40460	20309	10000	0
pipe-baseline	microbaseline	kvm	12	67082325	2792000	15840000	13	3	0	0
pipe-baseline	microbaseline	ptrace	12	67401598	2296000	50790000	313	150	0	0
pipe-roundtrip	boundary	kvm	12	167898393	54360000	34598000	14	10	2000	0
pipe-roundtrip	boundary	ptrace	12	1220252656	22278000	1122898000	8345	4174	2000	0
echo	application	ptrace	13	67466426	2863000	52421000	322	168	0	0
echo	application	kvm	13	117376136	3167000	14131000	14	4	0	0
ls-64	application	ptrace	13	121603848	5085000	78132000	550	268	0	0
ls-64	application	kvm	13	117559204	5153000	14859000	14	4	0	0
true	application	ptrace	13	66380634	3004000	47838000	287	141	0	0
true	application	kvm	13	66400654	2827000	12138000	13	7	0	0
pwd	application	ptrace	13	66571432	2097000	50982000	328	154	0	0
pwd	application	kvm	13	67236568	2944000	13565000	14	4	0	0
seq-10	application	ptrace	13	117958407	3144000	51071000	328	163	0	0
seq-10	application	kvm	13	118395748	2187000	15512000	12	15	0	0
head-readme	application	ptrace	13	67305002	5487000	51580000	342	166	0	0
head-readme	application	kvm	13	117101542	5309000	12499000	14	4	0	0
base64-readme	application	ptrace	13	66436839	3365000	52919000	372	179	0	0
base64-readme	application	kvm	13	66740918	4638000	11958000	12	5	0	0
id-u	application	ptrace	13	119213034	4962000	63254000	447	217	0	0
id-u	application	kvm	13	67384101	2867000	15306000	13	5	0	0
printf	application	ptrace	13	66725094	4053000	47291000	318	155	0	0
printf	application	kvm	13	116444448	2701000	12803000	14	4	0	0
cat-stream	throughput	ptrace	13	217206004	4066000	189900000	1374	682	0	16777216
cat-stream	throughput	kvm	13	66624843	8605000	14994000	13	2	0	16777216
syscall-baseline	microbaseline	ptrace	13	65908380	2153000	44729000	290	136	0	0
syscall-baseline	microbaseline	kvm	13	66894721	1921000	15007000	13	3	0	0
syscall-loop	syscall	ptrace	13	5630464907	45151000	5349998000	40392	20156	10000	0
syscall-loop	syscall	kvm	13	268697306	84203000	68170000	12	4	10000	0
pipe-baseline	microbaseline	ptrace	13	67463210	1496000	51194000	314	150	0	0
pipe-baseline	microbaseline	kvm	13	117328174	3832000	15649000	13	4	0	0
pipe-roundtrip	boundary	ptrace	13	1219356380	12463000	1133965000	8352	4167	2000	0
pipe-roundtrip	boundary	kvm	13	117527225	53490000	34404000	12	2	2000	0
echo	application	kvm	14	66494276	4012000	13609000	14	2	0	0
echo	application	ptrace	14	67142035	2206000	49673000	322	163	0	0
ls-64	application	kvm	14	116521875	6232000	13861000	13	2	0	0
ls-64	application	ptrace	14	116910422	1150000	83388000	550	268	0	0
true	application	kvm	14	116665222	2983000	13796000	13	2	0	0
true	application	ptrace	14	67331070	3534000	48231000	287	148	0	0
pwd	application	kvm	14	116913377	4880000	13044000	13	10	0	0
pwd	application	ptrace	14	66957436	1254000	52418000	330	164	0	0
seq-10	application	kvm	14	66600747	3019000	14028000	13	2	0	0
seq-10	application	ptrace	14	66555068	1408000	51438000	322	157	0	0
head-readme	application	kvm	14	116750129	2012000	16294000	14	4	0	0
head-readme	application	ptrace	14	66673417	4172000	51727000	343	167	0	0
base64-readme	application	kvm	14	116669879	3216000	15040000	13	2	0	0
base64-readme	application	ptrace	14	66762592	5079000	55611000	363	177	0	0
id-u	application	kvm	14	116869620	4264000	14964000	12	3	0	0
id-u	application	ptrace	14	217095837	1653000	71054000	451	220	0	0
printf	application	kvm	14	269850019	2768000	16559000	13	5	0	0
printf	application	ptrace	14	66797063	3157000	50987000	322	154	0	0
cat-stream	throughput	kvm	14	117021660	8595000	18699000	12	2	0	16777216
cat-stream	throughput	ptrace	14	217436933	4972000	198853000	1375	678	0	16777216
